recipe	result	tap_color	carrier	fluid	ingredients	unit_ticks
kaleidoscope_tavern:brandy	kaleidoscope_tavern:brandy	#FF55FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:grape_juice	item=minecraft:apple	2400
kaleidoscope_tavern:carignan	kaleidoscope_tavern:carignan	#FF55FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:grape_juice	item=minecraft:sweet_berries	2400
kaleidoscope_tavern:champagne	kaleidoscope_tavern:champagne	#FF55FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:grape_juice	item=minecraft:sugar	2400
kaleidoscope_tavern:glowflower_brew	kaleidoscope_tavern:glowflower_brew	#FFFF55	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:glow_berries_juice	item=minecraft:glowstone_dust	2400
kaleidoscope_tavern:honey_wine	kaleidoscope_tavern:honey_wine	#FFAA00	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:gold_grape_juice	item=minecraft:honeycomb	2400
kaleidoscope_tavern:ice_wine	kaleidoscope_tavern:ice_wine	#5555FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:ice_grape_juice		2400
kaleidoscope_tavern:luminous_bride	kaleidoscope_tavern:luminous_bride	#FFFF55	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:glow_berries_juice	item=minecraft:glow_ink_sac	2400
kaleidoscope_tavern:madame_shexiang	kaleidoscope_tavern:madame_shexiang	#FFAA00	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:gold_grape_juice	item=minecraft:gold_nugget	2400
kaleidoscope_tavern:miners_star	kaleidoscope_tavern:miners_star	#FFAA00	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:gold_grape_juice	item=minecraft:iron_nugget	2400
kaleidoscope_tavern:molotov	kaleidoscope_tavern:molotov		item=kaleidoscope_tavern:empty_bottle	minecraft:lava		2400
kaleidoscope_tavern:mother_snow	kaleidoscope_tavern:mother_snow	#5555FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:ice_grape_juice	item=minecraft:ice	2400
kaleidoscope_tavern:plum_wine	kaleidoscope_tavern:plum_wine	#FF5555	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:sweet_berries_juice	item=minecraft:sugar	2400
kaleidoscope_tavern:polaris_sweet_white	kaleidoscope_tavern:polaris_sweet_white	#5555FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:ice_grape_juice	item=minecraft:packed_ice	2400
kaleidoscope_tavern:red_queen	kaleidoscope_tavern:red_queen	#FF5555	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:sweet_berries_juice	item=minecraft:redstone	2400
kaleidoscope_tavern:riesling_dry_white	kaleidoscope_tavern:riesling_dry_white	#55FF55	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:green_grape_juice	item=minecraft:gunpowder;item=minecraft:sugar	2400
kaleidoscope_tavern:rum	kaleidoscope_tavern:rum	#FFFFFF	item=kaleidoscope_tavern:empty_bottle	minecraft:water	item=minecraft:sugar_cane	2400
kaleidoscope_tavern:sakura_wine	kaleidoscope_tavern:sakura_wine	#FF55FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:grape_juice	item=minecraft:pink_petals	2400
kaleidoscope_tavern:sauvignon_blanc_dry_white	kaleidoscope_tavern:sauvignon_blanc_dry_white	#55FF55	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:green_grape_juice	item=minecraft:sugar_cane;item=minecraft:sugar	2400
kaleidoscope_tavern:sherry	kaleidoscope_tavern:sherry	#5555FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:ice_grape_juice	item=minecraft:blue_ice	2400
kaleidoscope_tavern:sunset_glow	kaleidoscope_tavern:sunset_glow	#FFAA00	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:gold_grape_juice	item=minecraft:blaze_powder	2400
kaleidoscope_tavern:sweet_berry_wine	kaleidoscope_tavern:sweet_berry_wine	#FF5555	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:sweet_berries_juice	item=minecraft:sweet_berries	2400
kaleidoscope_tavern:vodka	kaleidoscope_tavern:vodka	#FFFFFF	item=kaleidoscope_tavern:empty_bottle	minecraft:water	item=minecraft:potato	2400
kaleidoscope_tavern:whiskey	kaleidoscope_tavern:whiskey	#FFFFFF	item=kaleidoscope_tavern:empty_bottle	minecraft:water	item=minecraft:wheat	2400
kaleidoscope_tavern:wine	kaleidoscope_tavern:wine	#FF55FF	item=kaleidoscope_tavern:empty_bottle	kaleidoscope_tavern:grape_juice		2400
