item	level	effect	duration_ticks	amplifier	probability
kaleidoscope_tavern:allium_garden	1	kaleidoscope_tavern:xp_drain	36000	0	1.0
kaleidoscope_tavern:bloody_mary	1	kaleidoscope_tavern:bloody_mary	36000	0	1.0
kaleidoscope_tavern:brandy	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:brandy	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:brandy	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:brandy	3	kaleidoscope_tavern:high_heels	1600	0	1.0
kaleidoscope_tavern:brandy	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:brandy	4	kaleidoscope_tavern:high_heels	4800	0	1.0
kaleidoscope_tavern:brandy	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:brandy	5	kaleidoscope_tavern:high_heels	14400	0	1.0
kaleidoscope_tavern:brandy	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:brandy	6	kaleidoscope_tavern:high_heels	43200	0	1.0
kaleidoscope_tavern:brass_heart	1	kaleidoscope_tavern:ardent_heat	6000	0	1.0
kaleidoscope_tavern:carignan	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:carignan	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:carignan	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:carignan	3	minecraft:instant_health	0	0	1.0
kaleidoscope_tavern:carignan	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:carignan	4	minecraft:instant_health	0	1	1.0
kaleidoscope_tavern:carignan	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:carignan	5	minecraft:instant_health	0	2	1.0
kaleidoscope_tavern:carignan	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:carignan	6	minecraft:instant_health	0	3	1.0
kaleidoscope_tavern:champagne	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:champagne	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:champagne	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:champagne	3	kaleidoscope_tavern:high_heels	1600	0	1.0
kaleidoscope_tavern:champagne	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:champagne	4	kaleidoscope_tavern:high_heels	4800	0	1.0
kaleidoscope_tavern:champagne	5	kaleidoscope_tavern:slightly_tipsy	400	0	1.0
kaleidoscope_tavern:champagne	5	kaleidoscope_tavern:high_heels	14400	0	1.0
kaleidoscope_tavern:champagne	6	kaleidoscope_tavern:slightly_tipsy	200	0	1.0
kaleidoscope_tavern:champagne	6	kaleidoscope_tavern:high_heels	43200	0	1.0
kaleidoscope_tavern:depth_charge	1	kaleidoscope_tavern:ardent_heat	6000	0	1.0
kaleidoscope_tavern:emerald	1	kaleidoscope_tavern:long_reach	54000	0	1.0
kaleidoscope_tavern:glowflower_brew	1	minecraft:nausea	600	0	1.0
kaleidoscope_tavern:glowflower_brew	2	kaleidoscope_tavern:slightly_tipsy	900	0	1.0
kaleidoscope_tavern:glowflower_brew	3	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
kaleidoscope_tavern:glowflower_brew	3	kaleidoscope_tavern:vision	1600	0	1.0
kaleidoscope_tavern:glowflower_brew	4	kaleidoscope_tavern:slightly_tipsy	600	0	1.0
