registry	tag	member
block	eclipticseasons:crops/average_moist	kaleidoscope_tavern:grapevine_trellis
block	eclipticseasons:crops/average_moist	kaleidoscope_tavern:ice_grapevine_trellis
block	eclipticseasons:crops/average_moist	kaleidoscope_tavern:gold_grapevine_trellis
block	eclipticseasons:crops/average_moist	kaleidoscope_tavern:grape_crop
block	eclipticseasons:crops/average_moist	kaleidoscope_tavern:ice_grape_crop
block	eclipticseasons:crops/average_moist	kaleidoscope_tavern:gold_grape_crop
block	kaleidoscope_tavern:ardent_heat_breakable	#minecraft:base_stone_overworld
block	kaleidoscope_tavern:ardent_heat_breakable	#minecraft:base_stone_nether
block	kaleidoscope_tavern:ardent_heat_breakable	minecraft:end_stone
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:white_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:light_gray_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:gray_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:black_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:brown_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:red_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:orange_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:yellow_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:lime_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:green_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:cyan_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:light_blue_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:blue_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:purple_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:magenta_bar_stool
block	kaleidoscope_tavern:bar_stool	kaleidoscope_tavern:pink_bar_stool
block	kaleidoscope_tavern:can_grow_gold_grape	minecraft:netherrack
block	kaleidoscope_tavern:can_grow_gold_grape	minecraft:magma_block
block	kaleidoscope_tavern:can_grow_grape	#minecraft:dirt
block	kaleidoscope_tavern:can_grow_ice_grape	#minecraft:ice
block	kaleidoscope_tavern:can_grow_ice_grape	minecraft:snow_block
block	kaleidoscope_tavern:grapevine_trellises	kaleidoscope_tavern:grapevine_trellis
block	kaleidoscope_tavern:grapevine_trellises	kaleidoscope_tavern:ice_grapevine_trellis
block	kaleidoscope_tavern:grapevine_trellises	kaleidoscope_tavern:gold_grapevine_trellis
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:short_grass
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:tall_grass
block	kaleidoscope_tavern:grass_stealth_plants	minecraft:fern
