recipe	result	ingredients
kaleidoscope_tavern:allium_garden	kaleidoscope_tavern:allium_garden	tag=kaleidoscope_tavern:cocktail_ingredient_light_purple;tag=kaleidoscope_tavern:cocktail_ingredient_light_purple;tag=kaleidoscope_tavern:cocktail_ingredient_light_purple
kaleidoscope_tavern:bloody_mary	kaleidoscope_tavern:bloody_mary	tag=kaleidoscope_tavern:cocktail_ingredient_red;tag=kaleidoscope_tavern:cocktail_ingredient_red;tag=kaleidoscope_tavern:cocktail_ingredient_red
kaleidoscope_tavern:brass_heart	kaleidoscope_tavern:brass_heart	tag=kaleidoscope_tavern:cocktail_ingredient_gold;tag=kaleidoscope_tavern:cocktail_ingredient_gold;tag=kaleidoscope_tavern:cocktail_ingredient_gold
kaleidoscope_tavern:depth_charge	kaleidoscope_tavern:depth_charge	tag=kaleidoscope_tavern:cocktail_ingredient_blue;tag=kaleidoscope_tavern:cocktail_ingredient_light_purple;tag=kaleidoscope_tavern:cocktail_ingredient_white
kaleidoscope_tavern:emerald	kaleidoscope_tavern:emerald	tag=kaleidoscope_tavern:cocktail_ingredient_green;tag=kaleidoscope_tavern:cocktail_ingredient_green;tag=kaleidoscope_tavern:cocktail_ingredient_green
kaleidoscope_tavern:godfather	kaleidoscope_tavern:godfather	tag=kaleidoscope_tavern:cocktail_ingredient_red;tag=kaleidoscope_tavern:cocktail_ingredient_red;tag=kaleidoscope_tavern:cocktail_ingredient_gold
kaleidoscope_tavern:grasshopper	kaleidoscope_tavern:grasshopper	tag=kaleidoscope_tavern:cocktail_ingredient_green;tag=kaleidoscope_tavern:cocktail_ingredient_green;tag=kaleidoscope_tavern:cocktail_ingredient_white
kaleidoscope_tavern:mojito	kaleidoscope_tavern:mojito	tag=kaleidoscope_tavern:cocktail_ingredient_white;tag=kaleidoscope_tavern:cocktail_ingredient_white;tag=kaleidoscope_tavern:cocktail_ingredient_green
kaleidoscope_tavern:nether_special	kaleidoscope_tavern:nether_special	tag=kaleidoscope_tavern:cocktail_ingredient_red;tag=kaleidoscope_tavern:cocktail_ingredient_green;tag=kaleidoscope_tavern:cocktail_ingredient_blue
kaleidoscope_tavern:screwdriver	kaleidoscope_tavern:screwdriver	tag=kaleidoscope_tavern:cocktail_ingredient_yellow;tag=kaleidoscope_tavern:cocktail_ingredient_yellow;tag=kaleidoscope_tavern:cocktail_ingredient_gold
kaleidoscope_tavern:sculk_special	kaleidoscope_tavern:sculk_special	tag=kaleidoscope_tavern:cocktail_ingredient_blue;tag=kaleidoscope_tavern:cocktail_ingredient_blue;tag=kaleidoscope_tavern:cocktail_ingredient_light_purple
kaleidoscope_tavern:white_lady	kaleidoscope_tavern:white_lady	tag=kaleidoscope_tavern:cocktail_ingredient_white;tag=kaleidoscope_tavern:cocktail_ingredient_green;tag=kaleidoscope_tavern:cocktail_ingredient_yellow
