tag	item
curios:charm	kaleidoscope_tavern:string_lights_colorless
curios:charm	kaleidoscope_tavern:string_lights_white
curios:charm	kaleidoscope_tavern:string_lights_light_gray
curios:charm	kaleidoscope_tavern:string_lights_gray
curios:charm	kaleidoscope_tavern:string_lights_black
curios:charm	kaleidoscope_tavern:string_lights_brown
curios:charm	kaleidoscope_tavern:string_lights_red
curios:charm	kaleidoscope_tavern:string_lights_orange
curios:charm	kaleidoscope_tavern:string_lights_yellow
curios:charm	kaleidoscope_tavern:string_lights_lime
curios:charm	kaleidoscope_tavern:string_lights_green
curios:charm	kaleidoscope_tavern:string_lights_cyan
curios:charm	kaleidoscope_tavern:string_lights_light_blue
curios:charm	kaleidoscope_tavern:string_lights_blue
curios:charm	kaleidoscope_tavern:string_lights_purple
curios:charm	kaleidoscope_tavern:string_lights_magenta
curios:charm	kaleidoscope_tavern:string_lights_pink
diet:fruits	kaleidoscope_tavern:grape
diet:fruits	kaleidoscope_tavern:ice_grape
diet:fruits	kaleidoscope_tavern:gold_grape
diet:fruits	kaleidoscope_tavern:green_grape
forge:dyes/black	minecraft:black_dye
forge:dyes/blue	minecraft:blue_dye
forge:dyes/brown	minecraft:brown_dye
forge:dyes/cyan	minecraft:cyan_dye
forge:dyes/gray	minecraft:gray_dye
forge:dyes/green	minecraft:green_dye
forge:dyes/light_blue	minecraft:light_blue_dye
forge:dyes/light_gray	minecraft:light_gray_dye
forge:dyes/lime	minecraft:lime_dye
forge:dyes/magenta	minecraft:magenta_dye
forge:dyes/orange	minecraft:orange_dye
forge:dyes/pink	minecraft:pink_dye
forge:dyes/purple	minecraft:purple_dye
forge:dyes/red	minecraft:red_dye
forge:dyes/white	minecraft:white_dye
forge:dyes/yellow	minecraft:yellow_dye
forge:fruits/grapes	kaleidoscope_tavern:grape
forge:gems/diamond	minecraft:diamond
forge:glass	minecraft:glass
forge:glass_panes	minecraft:glass_pane
forge:ingots/iron	minecraft:iron_ingot
forge:leather	minecraft:leather
forge:nuggets/gold	minecraft:gold_nugget
forge:nuggets/iron	minecraft:iron_nugget
forge:rods/wooden	minecraft:stick
forge:slimeballs	minecraft:slime_ball
forge:string	minecraft:string
kaleidoscope_tavern:bar_cabinet_irregular	kaleidoscope_tavern:brandy
kaleidoscope_tavern:bar_cabinet_irregular	kaleidoscope_tavern:carignan
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:brandy
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:carignan
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:mother_snow
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:miners_star
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:madame_shexiang
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:sunset_glow
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:riesling_dry_white
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:sweet_berry_wine
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:vodka
kaleidoscope_tavern:cellar_cabinet_blocklist	kaleidoscope_tavern:rum
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:miners_star
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:honey_wine
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:madame_shexiang
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:sunset_glow
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:ice_wine
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:polaris_sweet_white
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:mother_snow
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:sherry
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:sauvignon_blanc_dry_white
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:riesling_dry_white
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:plum_wine
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:sweet_berry_wine
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:red_queen
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:wine
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:champagne
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:sakura_wine
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:brandy
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:carignan
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:luminous_bride
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:glowflower_brew
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:vodka
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:whiskey
kaleidoscope_tavern:cocktail_ingredient	kaleidoscope_tavern:rum
kaleidoscope_tavern:cocktail_ingredient	minecraft:potion
kaleidoscope_tavern:cocktail_ingredient_blue	kaleidoscope_tavern:ice_wine
kaleidoscope_tavern:cocktail_ingredient_blue	kaleidoscope_tavern:polaris_sweet_white
kaleidoscope_tavern:cocktail_ingredient_blue	kaleidoscope_tavern:mother_snow
kaleidoscope_tavern:cocktail_ingredient_blue	kaleidoscope_tavern:sherry
kaleidoscope_tavern:cocktail_ingredient_gold	kaleidoscope_tavern:miners_star
kaleidoscope_tavern:cocktail_ingredient_gold	kaleidoscope_tavern:honey_wine
kaleidoscope_tavern:cocktail_ingredient_gold	kaleidoscope_tavern:madame_shexiang
kaleidoscope_tavern:cocktail_ingredient_gold	kaleidoscope_tavern:sunset_glow
kaleidoscope_tavern:cocktail_ingredient_green	kaleidoscope_tavern:sauvignon_blanc_dry_white
kaleidoscope_tavern:cocktail_ingredient_green	kaleidoscope_tavern:riesling_dry_white
kaleidoscope_tavern:cocktail_ingredient_light_purple	kaleidoscope_tavern:wine
